MAC	Signal
58:93:96:08:4A:18	-80
6C:AA:B3:32:31:C8	-86
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
6C:AA:B3:72:31:C8	-110
D4:68:4D:3E:19:78	-65
D4:68:4D:3E:19:78	-65
D4:68:4D:3E:19:78	-65
D4:68:4D:3E:19:78	-65
D4:68:4D:3E:19:78	-66
D4:68:4D:3E:19:78	-67
D4:68:4D:3E:19:78	-67
D4:68:4D:3E:19:78	-67
D4:68:4D:3E:19:78	-68
D4:68:4D:3E:19:78	-68
D4:68:4D:3E:19:78	-110
D4:68:4D:3E:19:7C	-85
D4:68:4D:3E:19:7C	-85
D4:68:4D:3E:19:7C	-86
D4:68:4D:3E:19:7C	-86
D4:68:4D:3E:19:7C	-87
D4:68:4D:3E:19:7C	-87
D4:68:4D:3E:19:7C	-87
D4:68:4D:3E:19:7C	-88
D4:68:4D:3E:19:7C	-88
D4:68:4D:3E:19:7C	-89
D4:68:4D:3E:19:7C	-89
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-89
D4:68:4D:3E:54:8C	-90
D4:68:4D:3E:54:98	-65
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-85
D4:68:4D:3E:54:9C	-85
D4:68:4D:3E:54:9C	-85
D4:68:4D:3E:54:9C	-87
D4:68:4D:3E:54:9C	-87
D4:68:4D:3E:54:D8	-76
D4:68:4D:3E:54:D8	-76
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-77
D4:68:4D:3E:54:D8	-78
D4:68:4D:3E:54:D8	-78
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:54:DC	-110
D4:68:4D:3E:57:78	-89
D4:68:4D:3E:57:78	-89
D4:68:4D:3E:57:78	-89
D4:68:4D:3E:57:78	-89
D4:68:4D:3E:57:78	-89
D4:68:4D:3E:57:78	-90
D4:68:4D:3E:57:78	-90
D4:68:4D:3E:57:78	-90
D4:68:4D:3E:57:78	-90
D4:68:4D:3E:57:78	-90
D4:68:4D:3E:57:78	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:58:E8	-110
D4:68:4D:3E:59:38	-72
D4:68:4D:3E:59:38	-72
D4:68:4D:3E:59:38	-73
D4:68:4D:3E:59:38	-73
D4:68:4D:3E:59:38	-74
D4:68:4D:3E:59:38	-74
D4:68:4D:3E:59:38	-74
D4:68:4D:3E:59:38	-74
D4:68:4D:3E:59:38	-75
D4:68:4D:3E:59:38	-75
D4:68:4D:3E:59:38	-110
D4:68:4D:3E:59:3C	-75
D4:68:4D:3E:59:3C	-75
D4:68:4D:3E:59:3C	-75
D4:68:4D:3E:59:3C	-75
D4:68:4D:3E:59:3C	-75
D4:68:4D:3E:59:3C	-75
D4:68:4D:3E:59:3C	-76
D4:68:4D:3E:59:3C	-76
D4:68:4D:3E:59:3C	-76
D4:68:4D:3E:59:3C	-76
D4:68:4D:3E:59:3C	-77
D4:68:4D:3E:77:38	-78
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-79
D4:68:4D:3E:77:38	-80
D4:68:4D:3E:77:38	-80
D4:68:4D:3E:77:3C	-87
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-88
D4:68:4D:3E:77:3C	-89
D4:68:4D:3E:78:A8	-89
D4:68:4D:3E:78:A8	-90
D4:68:4D:3E:78:A8	-90
D4:68:4D:3E:78:A8	-90
D4:68:4D:3E:78:A8	-90
D4:68:4D:3E:78:A8	-90
D4:68:4D:3E:78:A8	-91
D4:68:4D:3E:78:A8	-91
D4:68:4D:3E:78:A8	-91
D4:68:4D:3E:78:A8	-110
D4:68:4D:3E:81:88	-47
D4:68:4D:3E:81:88	-48
D4:68:4D:3E:81:88	-48
D4:68:4D:3E:81:88	-48
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:88	-49
D4:68:4D:3E:81:8C	-70
D4:68:4D:3E:81:8C	-70
D4:68:4D:3E:81:8C	-70
D4:68:4D:3E:81:8C	-70
D4:68:4D:3E:81:8C	-71
D4:68:4D:3E:81:8C	-71
D4:68:4D:3E:81:8C	-71
D4:68:4D:3E:81:8C	-71
D4:68:4D:3E:81:8C	-71
D4:68:4D:3E:81:8C	-74
D4:68:4D:3E:81:8C	-75
D4:68:4D:3E:81:98	-72
D4:68:4D:3E:81:98	-72
D4:68:4D:3E:81:98	-73
D4:68:4D:3E:81:98	-73
D4:68:4D:3E:81:98	-73
D4:68:4D:3E:81:98	-73
D4:68:4D:3E:81:98	-73
D4:68:4D:3E:81:98	-74
D4:68:4D:3E:81:98	-74
D4:68:4D:3E:81:98	-75
D4:68:4D:3E:81:98	-76
D4:68:4D:3E:81:9C	-82
D4:68:4D:3E:81:9C	-82
D4:68:4D:3E:81:9C	-83
D4:68:4D:3E:81:9C	-83
D4:68:4D:3E:81:9C	-83
D4:68:4D:3E:81:9C	-83
D4:68:4D:3E:81:9C	-83
D4:68:4D:3E:81:9C	-84
D4:68:4D:3E:81:9C	-84
D4:68:4D:3E:81:9C	-85
D4:68:4D:3E:81:9C	-85
D4:68:4D:3E:81:A8	-68
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-69
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-70
D4:68:4D:3E:81:A8	-71
D4:68:4D:3E:81:A8	-71
D4:68:4D:3E:81:AC	-89
D4:68:4D:3E:81:AC	-89
D4:68:4D:3E:81:AC	-90
D4:68:4D:3E:81:AC	-90
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:AC	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:81:C8	-110
D4:68:4D:3E:82:98	-37
D4:68:4D:3E:82:98	-38
D4:68:4D:3E:82:98	-38
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:98	-39
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:82:9C	-47
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:58	-110
D4:68:4D:3E:86:68	-86
D4:68:4D:3E:86:68	-86
D4:68:4D:3E:86:68	-86
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-87
D4:68:4D:3E:86:68	-88
D4:68:4D:3E:86:68	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:28	-110
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:87:F8	-53
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:87:F8	-55
D4:68:4D:3E:87:F8	-55
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:87:FC	-62
D4:68:4D:3E:89:58	-72
D4:68:4D:3E:89:58	-73
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-76
D4:68:4D:3E:89:58	-77
D4:68:4D:3E:8A:68	-57
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:8A:68	-58
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:8A:68	-59
D4:68:4D:3E:8A:68	-60
D4:68:4D:3E:8A:68	-60
D4:68:4D:3E:8A:68	-60
D4:68:4D:3E:8A:6C	-72
D4:68:4D:3E:8A:6C	-72
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-73
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:8B:48	-89
D4:68:4D:3E:8B:48	-89
D4:68:4D:3E:8B:48	-89
D4:68:4D:3E:8B:48	-89
D4:68:4D:3E:8B:48	-89
D4:68:4D:3E:8B:4C	-89
D4:68:4D:3E:8B:4C	-90
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:8C:88	-46
D4:68:4D:3E:8C:88	-46
D4:68:4D:3E:8C:88	-73
D4:68:4D:3E:8C:8C	-64
D4:68:4D:3E:8C:8C	-65
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-67
D4:68:4D:3E:8C:8C	-68
D4:68:4D:3E:8C:8C	-72
D4:68:4D:3E:8C:8C	-73
D4:68:4D:3E:91:D8	-47
D4:68:4D:3E:91:D8	-52
D4:68:4D:3E:91:D8	-53
D4:68:4D:3E:91:D8	-53
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:91:D8	-58
D4:68:4D:3E:91:D8	-58
D4:68:4D:3E:91:DC	-66
D4:68:4D:3E:91:DC	-67
D4:68:4D:3E:91:DC	-67
D4:68:4D:3E:91:DC	-67
D4:68:4D:3E:91:DC	-67
D4:68:4D:3E:91:DC	-67
D4:68:4D:3E:91:DC	-68
D4:68:4D:3E:91:DC	-68
D4:68:4D:3E:91:DC	-68
D4:68:4D:3E:91:DC	-69
D4:68:4D:3E:91:DC	-70
D4:68:4D:3E:A3:08	-61
D4:68:4D:3E:A3:08	-62
D4:68:4D:3E:A3:08	-63
D4:68:4D:3E:A3:08	-64
D4:68:4D:3E:A3:08	-64
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A3:0C	-82
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:0C	-83
D4:68:4D:3E:A3:C8	-72
D4:68:4D:3E:A3:C8	-72
D4:68:4D:3E:A3:C8	-72
D4:68:4D:3E:A3:C8	-73
D4:68:4D:3E:A3:C8	-73
D4:68:4D:3E:A3:C8	-73
D4:68:4D:3E:A3:C8	-73
D4:68:4D:3E:A3:C8	-74
D4:68:4D:3E:A3:C8	-74
D4:68:4D:3E:A3:C8	-74
D4:68:4D:3E:A3:C8	-76
D4:68:4D:3E:A4:28	-59
D4:68:4D:3E:A4:28	-61
D4:68:4D:3E:A4:28	-62
D4:68:4D:3E:A4:28	-63
D4:68:4D:3E:A4:28	-63
D4:68:4D:3E:A4:28	-63
D4:68:4D:3E:A4:28	-64
D4:68:4D:3E:A4:28	-64
D4:68:4D:3E:A4:28	-66
D4:68:4D:3E:A4:28	-66
D4:68:4D:3E:A4:28	-67
D4:68:4D:3E:A4:2C	-79
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-80
D4:68:4D:3E:A4:2C	-81
D4:68:4D:3E:A6:38	-89
D4:68:4D:3E:A6:38	-89
D4:68:4D:3E:A6:38	-89
D4:68:4D:3E:A6:38	-89
D4:68:4D:3E:A6:88	-68
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-72
D4:68:4D:3E:A6:88	-73
D4:68:4D:3E:A6:88	-73
D4:68:4D:3E:A6:88	-73
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:88	-74
D4:68:4D:3E:A6:88	-75
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:A6:8C	-82
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-83
D4:68:4D:3E:A6:8C	-84
D4:68:4D:3E:A7:B8	-83
D4:68:4D:3E:A7:B8	-83
D4:68:4D:3E:A7:B8	-84
D4:68:4D:3E:A7:B8	-84
D4:68:4D:3E:A7:B8	-84
D4:68:4D:3E:A7:B8	-85
D4:68:4D:3E:A7:B8	-85
D4:68:4D:3E:A7:B8	-110
D4:68:4D:3E:A7:B8	-110
D4:68:4D:3E:A7:B8	-110
D4:68:4D:3E:A7:B8	-110
00:1E:4A:8F:FE:30	-110
00:1E:4A:90:00:20	-77
00:1E:4A:90:00:20	-77
00:1E:4A:90:00:20	-78
00:1E:4A:90:00:20	-78
00:1E:4A:90:00:20	-78
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-79
00:1E:4A:90:00:20	-82
00:22:6B:47:B8:32	-90
00:22:6B:47:B8:32	-90
00:22:6B:47:B8:32	-90
00:22:6B:47:B8:32	-90
00:22:6B:47:B8:32	-90
00:22:6B:47:B8:32	-110
00:22:6B:47:B8:32	-110
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-64
2C:E6:CC:1A:CB:D8	-65
2C:E6:CC:1A:CB:D8	-66
2C:E6:CC:1A:CB:D8	-66
2C:E6:CC:1A:CB:D8	-66
2C:E6:CC:1A:CB:D8	-66
42:49:0F:9A:96:50	-83
42:49:0F:9A:96:50	-83
42:49:0F:9A:96:50	-83
42:49:0F:9A:96:50	-84
42:49:0F:9A:96:50	-85
42:49:0F:9A:96:50	-85
42:49:0F:9A:96:50	-85
42:49:0F:9A:96:50	-85
42:49:0F:9A:96:50	-85
42:49:0F:9A:96:50	-85
42:49:0F:9A:96:50	-86
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-84
44:1C:A8:0F:72:9E	-85
44:1C:A8:0F:72:9E	-85
44:1C:A8:0F:72:9E	-85
44:1C:A8:0F:72:9E	-85
44:1C:A8:0F:72:9E	-85
44:1C:A8:0F:72:9E	-85
44:1C:A8:0F:72:9E	-86
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-78
58:93:96:08:4A:18	-81
58:93:96:08:4A:18	-81
58:93:96:08:4A:18	-81
58:93:96:08:4A:18	-81
58:93:96:08:4A:18	-81
58:93:96:08:4A:18	-110
58:93:96:08:4A:18	-110
6C:AA:B3:32:31:C8	-83
6C:AA:B3:32:31:C8	-83
6C:AA:B3:32:31:C8	-83
6C:AA:B3:32:31:C8	-83
6C:AA:B3:32:31:C8	-83
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-80
6C:AA:B3:72:31:C8	-80
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-81
6C:AA:B3:72:31:C8	-82
6C:AA:B3:72:31:C8	-82
6C:AA:B3:72:31:C8	-83
94:F6:65:1D:EC:D8	-89
94:F6:65:1D:EC:D8	-89
94:F6:65:1D:EC:D8	-89
94:F6:65:1D:EC:D8	-89
94:F6:65:1D:EC:D8	-89
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
94:F6:65:1D:EC:D8	-110
D4:68:4D:3E:19:78	-68
D4:68:4D:3E:19:78	-68
D4:68:4D:3E:19:78	-69
D4:68:4D:3E:19:78	-69
D4:68:4D:3E:19:78	-69
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:19:78	-71
D4:68:4D:3E:19:78	-71
D4:68:4D:3E:19:78	-79
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-82
D4:68:4D:3E:19:7C	-83
D4:68:4D:3E:19:7C	-83
D4:68:4D:3E:19:7C	-83
D4:68:4D:3E:19:7C	-83
D4:68:4D:3E:19:7C	-83
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-87
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:8C	-88
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-67
D4:68:4D:3E:54:98	-68
D4:68:4D:3E:54:98	-71
D4:68:4D:3E:54:98	-71
D4:68:4D:3E:54:98	-72
D4:68:4D:3E:54:9C	-83
D4:68:4D:3E:54:9C	-83
D4:68:4D:3E:54:9C	-83
D4:68:4D:3E:54:9C	-83
D4:68:4D:3E:54:9C	-83
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-84
D4:68:4D:3E:54:9C	-86
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-79
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:54:DC	-85
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-86
D4:68:4D:3E:54:DC	-87
D4:68:4D:3E:54:DC	-87
D4:68:4D:3E:54:DC	-87
D4:68:4D:3E:58:E8	-82
D4:68:4D:3E:58:E8	-82
D4:68:4D:3E:58:E8	-83
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-84
D4:68:4D:3E:58:E8	-85
D4:68:4D:3E:58:E8	-85
D4:68:4D:3E:58:E8	-85
D4:68:4D:3E:58:E8	-85
D4:68:4D:3E:59:38	-68
D4:68:4D:3E:59:38	-68
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-69
D4:68:4D:3E:59:38	-70
D4:68:4D:3E:59:38	-70
D4:68:4D:3E:59:38	-70
D4:68:4D:3E:59:38	-70
D4:68:4D:3E:59:38	-71
D4:68:4D:3E:59:3C	-70
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:59:3C	-71
